model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,3,16,2,0.01,11816.2666015625,94.5082778930664,108.70265222874049
GAT,0,3,16,2,0.1,32.01963806152344,5.47279691696167,5.658589759076323
GAT,0,3,16,4,0.01,4708.28662109375,58.47978591918945,68.61695578422108
GAT,0,3,16,4,0.1,2.0683250427246094,1.2349166870117188,1.4381672513044543
GAT,0,3,32,2,0.01,223376.046875,410.240478515625,472.62675217871447
GAT,0,3,32,2,0.1,2.0682060718536377,1.2330372333526611,1.4381258887363226
GAT,0,3,32,4,0.01,1201411.75,954.9833984375,1096.0892983694348
GAT,0,3,32,4,0.1,2.0709962844848633,1.211097240447998,1.439095648136309
GAT,0,4,16,2,0.01,15825.546875,108.6192855834961,125.79962986829493
GAT,0,4,16,2,0.1,2.069019079208374,1.2405455112457275,1.438408523058861
GAT,0,4,16,4,0.01,8861.58984375,81.01771545410156,94.13601778145281
GAT,0,4,16,4,0.1,2.0683252811431885,1.2349176406860352,1.438167334194178
GAT,0,4,32,2,0.01,159861.171875,347.08978271484375,399.8264271843471
GAT,0,4,32,2,0.1,2.077573776245117,1.2643824815750122,1.4413791230086266
GAT,0,4,32,4,0.01,118915.0,301.13604736328125,344.8405428600297
GAT,0,4,32,4,0.1,2.079475164413452,1.267683982849121,1.442038544704493
GAT,1,3,16,2,0.01,867.9334716796875,24.807226181030273,29.46071064451242
GAT,1,3,16,2,0.1,79.0985107421875,8.367056846618652,8.89373435302559
GAT,1,3,16,4,0.01,149470.15625,336.0117492675781,386.613704167351
GAT,1,3,16,4,0.1,2.042513370513916,1.2201099395751953,1.4291652705386861
GAT,1,3,32,2,0.01,3089195.75,1523.90576171875,1757.6108073177065
GAT,1,3,32,2,0.1,2.0424206256866455,1.222292184829712,1.4291328229687559
GAT,1,3,32,4,0.01,923319.4375,834.4063720703125,960.8951230493367
GAT,1,3,32,4,0.1,3.5848255157470703,1.241943359375,1.8933635455841729
GAT,1,4,16,2,0.01,11203.083984375,92.62840270996094,105.84462189632026
GAT,1,4,16,2,0.1,11.209782600402832,3.0582518577575684,3.3481013426123813
GAT,1,4,16,4,0.01,217890.1875,403.7567443847656,466.7870901171111
GAT,1,4,16,4,0.1,2.043832302093506,1.2105947732925415,1.4296266303106926
GAT,1,4,32,2,0.01,367.4849853515625,17.47333335876465,19.16989789622163
GAT,1,4,32,2,0.1,2.0480804443359375,1.197505235671997,1.4311116114181792
GAT,1,4,32,4,0.01,47475.76953125,188.11412048339844,217.88935157838714
GAT,1,4,32,4,0.1,2.0879099369049072,1.2981657981872559,1.444960185231727
GAT,2,3,16,2,0.01,3197945.25,1553.716796875,1788.279969691547
GAT,2,3,16,2,0.1,2.059551239013672,1.256048560142517,1.4351136676283422
GAT,2,3,16,4,0.01,65829.625,222.3809051513672,256.57284540652387
GAT,2,3,16,4,0.1,2.0525314807891846,1.2169445753097534,1.4326658650184922
GAT,2,3,32,2,0.01,209181.0625,398.6183776855469,457.3631625962021
GAT,2,3,32,2,0.1,2.05242919921875,1.2330164909362793,1.4326301683333176
GAT,2,3,32,4,0.01,15074.9267578125,107.68049621582031,122.77999331247946
GAT,2,3,32,4,0.1,2.0525949001312256,1.216489553451538,1.4326879981807712
GAT,2,4,16,2,0.01,814859.0,785.2451782226562,902.6954082081065
GAT,2,4,16,2,0.1,10.682761192321777,2.977891206741333,3.2684493559365086
GAT,2,4,16,4,0.01,81921.2265625,247.8267364501953,286.21884382845934
GAT,2,4,16,4,0.1,2.056640625,1.201287031173706,1.4340992381979707
GAT,2,4,32,2,0.01,278587.78125,459.3661804199219,527.8141540826657
GAT,2,4,32,2,0.1,2.0520548820495605,1.221908688545227,1.432499522530308
GAT,2,4,32,4,0.01,10166048.0,2773.253173828125,3188.424062134772
GAT,2,4,32,4,0.1,2.0519585609436035,1.2256609201431274,1.4324659021923012
