model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
SAGE,0,3,16,,0.01,21.301803588867188,4.377394199371338,4.615387696485224
SAGE,0,3,16,,0.1,25.899391174316406,4.881727695465088,5.089144444237794
SAGE,0,3,16,,0.01,200.75474548339844,11.37862491607666,14.16879477878759
SAGE,0,3,16,,0.1,19.653913497924805,4.193540096282959,4.433273451742494
SAGE,0,3,32,,0.01,46914.25390625,187.62742614746094,216.59698498882665
SAGE,0,3,32,,0.1,380701.3125,537.8631591796875,617.0099776340736
SAGE,0,3,32,,0.01,172985.9375,361.3097229003906,415.9157817395248
SAGE,0,3,32,,0.1,2.0684163570404053,1.2359713315963745,1.4381989977191632
SAGE,0,4,16,,0.01,2551.444091796875,44.88191604614258,50.51182130746104
SAGE,0,4,16,,0.1,2.0688486099243164,1.2394803762435913,1.438349265625118
SAGE,0,4,16,,0.01,3390.986083984375,51.523616790771484,58.232173958941075
SAGE,0,4,16,,0.1,2.068990468978882,1.219667911529541,1.4383985779257715
SAGE,0,4,32,,0.01,1529.9752197265625,34.99717712402344,39.11489766989762
SAGE,0,4,32,,0.1,603799.0,677.1095581054688,777.0450437394219
SAGE,0,4,32,,0.01,24061.4765625,135.94183349609375,155.11762170204906
SAGE,0,4,32,,0.1,7684.234375,75.31273651123047,87.659764858229
SAGE,1,3,16,,0.01,625.9395141601562,20.778579711914062,25.018783227010786
SAGE,1,3,16,,0.1,2.0428988933563232,1.2315489053726196,1.4293001411027437
SAGE,1,3,16,,0.01,17094.673828125,112.53752136230469,130.7466015930242
SAGE,1,3,16,,0.1,17.830453872680664,3.9734179973602295,4.222612209602092
SAGE,1,3,32,,0.01,353.0783386230469,15.204489707946777,18.79037888449956
SAGE,1,3,32,,0.1,23.50847625732422,4.63314962387085,4.848554037785308
SAGE,1,3,32,,0.01,42408.93359375,179.641845703125,205.93429436048285
SAGE,1,3,32,,0.1,25.08489990234375,4.800260543823242,5.0084827944542
SAGE,1,4,16,,0.01,3943.43115234375,55.354698181152344,62.79674475913342
SAGE,1,4,16,,0.1,2.043325901031494,1.2131834030151367,1.4294495097874196
SAGE,1,4,16,,0.01,3683.8486328125,53.4142951965332,60.69471667956363
SAGE,1,4,16,,0.1,2.0436625480651855,1.2114026546478271,1.4295672590211297
SAGE,1,4,32,,0.01,2519.753173828125,42.635459899902344,50.19714308432428
SAGE,1,4,32,,0.1,71.33799743652344,7.930358409881592,8.446182417904756
SAGE,1,4,32,,0.01,14280.6669921875,104.56242370605469,119.50174472444952
SAGE,1,4,32,,0.1,13.83519172668457,3.434062957763672,3.7195687554721406
SAGE,2,3,16,,0.01,3345.891357421875,49.33536911010742,57.84368035854803
SAGE,2,3,16,,0.1,2.052076816558838,1.2215359210968018,1.4325071785365817
SAGE,2,3,16,,0.01,6015.91748046875,66.41875457763672,77.56234576435108
SAGE,2,3,16,,0.1,2.05195951461792,1.2258073091506958,1.4324662350708026
SAGE,2,3,32,,0.01,104060.9375,279.6278991699219,322.58477567920033
SAGE,2,3,32,,0.1,38885.265625,170.44854736328125,197.19347257198956
SAGE,2,3,32,,0.01,1625.417724609375,34.10966873168945,40.31646964466724
SAGE,2,3,32,,0.1,115.70967102050781,8.4657564163208,10.756842985769934
SAGE,2,4,16,,0.01,99.0814208984375,7.761606216430664,9.953965084248463
SAGE,2,4,16,,0.1,12.571040153503418,3.2551872730255127,3.5455662669739256
SAGE,2,4,16,,0.01,8450.8623046875,80.77233123779297,91.92857175376706
SAGE,2,4,16,,0.1,2.127208948135376,1.321936845779419,1.4584954398747279
SAGE,2,4,32,,0.01,3212.04248046875,48.37191390991211,56.67488403577682
SAGE,2,4,32,,0.1,8.678553581237793,2.6973025798797607,2.945938489045179
SAGE,2,4,32,,0.01,52.24638748168945,6.8777289390563965,7.228166259964518
SAGE,2,4,32,,0.1,1108.2752685546875,27.9136962890625,33.290768518535096
