model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GCN,0,3,16,,0.01,195.39195251464844,12.89236831665039,13.978267149924143
GCN,0,3,16,,0.1,10.386731147766113,2.9292092323303223,3.222845194508435
GCN,0,3,16,,0.01,1590374.25,1098.2347412109375,1261.1004123383673
GCN,0,3,16,,0.1,27.73470687866211,5.066218852996826,5.266375117541677
GCN,0,3,32,,0.01,27387.947265625,145.53848266601562,165.49304295233983
GCN,0,3,32,,0.1,59.77429962158203,7.334630966186523,7.731384068947942
GCN,0,3,32,,0.01,743132.8125,751.3267211914062,862.0515138319752
GCN,0,3,32,,0.1,481578.15625,605.2659912109375,693.9583245772039
GCN,0,4,16,,0.01,994505.6875,869.0841674804688,997.2490599143225
GCN,0,4,16,,0.1,2.068274974822998,1.2342305183410645,1.4381498443566296
GCN,0,4,16,,0.01,148627.8125,336.6550598144531,385.5227781856735
GCN,0,4,16,,0.1,20.65151596069336,4.310844421386719,4.5443939046580635
GCN,0,4,32,,0.01,245716.71875,432.2257995605469,495.6982133818923
GCN,0,4,32,,0.1,11.281538009643555,3.0663163661956787,3.3588000847986703
GCN,0,4,32,,0.01,148658.953125,336.5726623535156,385.56316359968827
GCN,0,4,32,,0.1,650172.4375,702.7144775390625,806.3327089359577
GCN,1,3,16,,0.01,2307947.0,1321.2059326171875,1519.1928778137421
GCN,1,3,16,,0.1,13.7420654296875,3.4204769134521484,3.707029191911968
GCN,1,3,16,,0.01,22281.82421875,131.08831787109375,149.27097580825952
GCN,1,3,16,,0.1,15.348742485046387,3.6477854251861572,3.917747118567811
GCN,1,3,32,,0.01,98761.3828125,272.0372009277344,314.2632380863215
GCN,1,3,32,,0.1,77469.2421875,242.39181518554688,278.33296999726787
GCN,1,3,32,,0.01,1248025.25,968.1800537109375,1117.1505046322093
GCN,1,3,32,,0.1,2.933098077774048,1.552870273590088,1.7126289959515597
GCN,1,4,16,,0.01,4714456.0,1883.305419921875,2171.27980693415
GCN,1,4,16,,0.1,19.517507553100586,4.180323123931885,4.417862328445804
GCN,1,4,16,,0.01,97480.8203125,269.70184326171875,312.2191863298923
GCN,1,4,16,,0.1,13.228981971740723,3.3466439247131348,3.6371667506097
GCN,1,4,32,,0.01,160353.015625,348.6082458496094,400.44102640089216
GCN,1,4,32,,0.1,18.121047973632812,4.0098185539245605,4.256882424219961
GCN,1,4,32,,0.01,9594.10546875,83.78925323486328,97.94950468864046
GCN,1,4,32,,0.1,336759232.0,15920.0185546875,18351.0008446406
GCN,2,3,16,,0.01,213909.40625,404.69110107421875,462.5034121495754
GCN,2,3,16,,0.1,17.15447235107422,3.886195421218872,4.1417957881906995
GCN,2,3,16,,0.01,327917.59375,496.62152099609375,572.6408942347725
GCN,2,3,16,,0.1,4.511825084686279,1.9513856172561646,2.1241057141032975
GCN,2,3,32,,0.01,67287.5859375,228.0,259.398507970844
GCN,2,3,32,,0.1,5116747.5,1967.6336669921875,2262.0228778683913
GCN,2,3,32,,0.01,23278.85546875,133.31333923339844,152.57409828915917
GCN,2,3,32,,0.1,755944.9375,755.0369873046875,869.4509402490746
GCN,2,4,16,,0.01,167313.1875,355.3220520019531,409.03934712934404
GCN,2,4,16,,0.1,12.549670219421387,3.252194881439209,3.5425513714583428
GCN,2,4,16,,0.01,117679.578125,299.02105712890625,343.04457163027666
GCN,2,4,16,,0.1,201366.5625,391.0040588378906,448.73885780039154
GCN,2,4,32,,0.01,453463.71875,586.6005859375,673.3971478629828
GCN,2,4,32,,0.1,11.082954406738281,3.039015531539917,3.329107148581776
GCN,2,4,32,,0.01,437.2259521484375,18.759626388549805,20.909948640502144
GCN,2,4,32,,0.1,110.84487915039062,8.016617774963379,10.528289469348316
