model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse,rounded_acc
GCN,0,2,16,,0.001,0.09230174124240875,0.25612199306488037,0.3038120162903514,0.417240709066391
GCN,0,2,16,,0.01,0.07914373278617859,0.22169475257396698,0.2813249594084723,0.6875814199447632
GCN,0,2,16,,0.1,0.07874808460474014,0.22238317131996155,0.28062089124785444,0.6862781643867493
GCN,0,2,16,,0.001,0.08787056803703308,0.2279834747314453,0.29642970167821087,0.5295103192329407
GCN,0,2,16,,0.01,0.07887135446071625,0.22182238101959229,0.2808404430645918,0.6868367195129395
GCN,0,2,16,,0.1,0.07923902571201324,0.22328504920005798,0.2814942729648567,0.6875814199447632
GCN,0,2,16,,0.001,0.08741959184408188,0.21691982448101044,0.29566804332575725,0.5805250406265259
GCN,0,2,16,,0.01,0.07884093374013901,0.22219495475292206,0.2807862776920179,0.687022864818573
GCN,0,2,16,,0.1,0.07898770272731781,0.2227572202682495,0.28104750973335063,0.6875814199447632
GCN,0,2,16,,0.001,0.0875571146607399,0.2198682576417923,0.2959005148031005,0.5894619226455688
GCN,0,2,16,,0.01,0.0788593590259552,0.22263354063034058,0.2808190859360439,0.6875814199447632
GCN,0,2,16,,0.1,0.0791880413889885,0.22364389896392822,0.2814036982503757,0.6875814199447632
GCN,0,2,32,,0.001,0.0837487131357193,0.22642184793949127,0.28939369919837454,0.5256004333496094
GCN,0,2,32,,0.01,0.07897636294364929,0.22298061847686768,0.2810273348691356,0.6875814199447632
GCN,0,2,32,,0.1,0.0790209099650383,0.2224646508693695,0.2811065811485713,0.6875814199447632
GCN,0,2,32,,0.001,0.07941339910030365,0.22151796519756317,0.2818038308829453,0.6875814199447632
GCN,0,2,32,,0.01,0.0788004994392395,0.22240351140499115,0.280714266540266,0.6872090697288513
GCN,0,2,32,,0.1,0.07910584658384323,0.2242790162563324,0.28125761604593613,0.6875814199447632
GCN,0,2,32,,0.001,0.0791456550359726,0.22318275272846222,0.2813283758101422,0.6875814199447632
GCN,0,2,32,,0.01,0.07891480624675751,0.22206442058086395,0.2809177926845459,0.6875814199447632
GCN,0,2,32,,0.1,0.07922942191362381,0.2233460247516632,0.2814772138444315,0.6875814199447632
GCN,0,2,32,,0.001,0.08482657372951508,0.22242425382137299,0.2912500192781368,0.5477564334869385
